"V1","V2","V3"
-55.575,6.5754,-33.021
-45.768,4.0846,-39.855
-50.18,-5.5843,-31.713
-30.168,13.581,-31.703
-34.886,13.171,-40.008
-35.226,4.4621,-47.842
-28.368,-1.3608,-39.675
-34.54,-8.0763,-43.383
-27.547,15.736,-21.122
-32.356,6.4608,-18.305
-21.147,34.92,-21.82
-22.257,25.118,-18.026
-21.221,16.174,-23.965
-12.769,18.456,-21.789
-22.405,8.1165,-17.998
-24.567,-0.024871,-30.072
-21.029,-4.294,-30.248
-27.611,5.3158,-26.315
-28.481,-0.18767,-20.471
-24.306,0.57972,-15.36
-28.205,-9.639,-25.241
-20.953,-14.924,-31.136
-19.255,0.49284,-14.239
-29.866,-8.7348,-18.403
-35.227,-14.428,-20.471
-33.289,-18.815,-14.185
-32.45,-23.312,-16.244
-16.276,46.207,-21.384
-10.251,39.402,-27.871
-2.4375,47.623,-20.112
-2.1121,37.001,-23.285
-8.1578,40.591,-23.296
-12.521,31.568,-21.866
-12.303,23.484,-17.312
-10.439,39.839,-8.4137
-2.9008,32.512,-9.5883
-5.0322,33.59,-14.574
-4.1677,33.256,8.4518
-0.76566,21.417,10.224
-1.0895,30.327,-0.50468
-2.1129,21.343,-4.4296
-0.72582,4.684,-0.84963
-2.1608,11.368,-6.8379
-8.8496,17.744,-21.557
-12.064,9.7874,-18.588
-2.8053,25.3,-21.987
-4.7743,16.075,-14.533
-4.0031,1.3316,-12.198
-15.341,-1.9118,-13.291
-4.1548,-10.952,-13.352
-11.303,-6.2118,-14.427
-21.712,-13.743,-12.512
-27.196,-22.221,-12.412
-7.843,41.691,8.06
-3.633,32.14,15.76
-11.374,48.433,-5.7799
-8.2745,45.64,-0.63831
-12.11,45.222,9.3561
-6.7504,51.759,13.804
-9.9126,43.245,19.327
-5.9244,62.556,-19.336
-6.9415,54.843,-11.078
-22.564,49.813,-13.368
-15.691,57.141,-18.962
-16.48,60.804,-11.399
-25.292,57.412,-5.9201
-20.376,63.891,-4.5727
-7.1359,60.582,7.9775
-6.7619,60.726,19.35
-8.0403,57.737,-0.91215
-11.62,67.422,1.9724
-24.384,66.256,6.3289
-14.891,61.703,23.196
-6.3513,59.848,30.487
-27.574,57.186,11.385
-23.062,62.173,16.496
-24.655,58.27,25.878
-24.172,47.364,25.597
-23.445,53.111,34.511
-28.634,44.776,21.282
-28.307,39.161,27.85
-31.213,51.999,8.0351
-29.829,53.206,17.475
-38.579,49.978,22.449
-39.902,41.738,14.064
-46.691,39.412,22.176
-34.415,60.308,-9.2937
-31.681,54.769,-1.0836
-31.955,49.755,-16.513
-39.309,48.608,-14.892
-45.841,40.697,-10.292
-37.919,41.819,5.0523
-45.41,34.909,10.373
-42.078,54.927,4.6526
-44.343,44.032,-1.9831
-52.839,35.708,-6.5694
-56.018,28.626,7.7712
-50.349,28.056,18.176
-48.514,27.199,-0.58655
-46.436,23.519,8.3396
-46.025,18.419,4.0719
-35.337,38.114,36.539
-26.64,39.558,37.885
-44.876,27.981,25.326
-42.891,32.766,32.715
-35.843,26.382,37.834
-45.617,16.586,44.2
-35.078,21.914,48.56
-54.157,14.919,19.082
-45.234,20.899,22.393
-45.472,5.6054,3.0178
-52.17,12.53,6.252
-50.08,7.3446,12.219
-61.82,4.7999,13.225
-53.726,7.0986,22.042
-40.65,9.2243,34.514
-37.61,4.9425,42.188
-38.993,15.598,27.646
-42.967,7.8127,28.878
-60.037,4.8695,33.568
-54.192,0.17633,45.633
-44.836,2.9614,52.246
-51.817,-7.8778,26.454
-54.595,-6.0043,36.236
-43.463,-13.65,38.564
-48.499,-15.478,45.583
-37.994,-18.538,43.952
-59.073,-16.401,46.005
-52.986,-21.805,49.24
-64.757,-5.3693,27.612
-61.204,-8.9408,39.251
-54.346,-22.274,35.071
-64.311,-27.366,37.62
-54.557,-29.464,44.556
-55.358,-8.2453,10.014
-66.166,-7.4805,15.266
-45.42,-3.7291,11.013
-43.58,-14.587,18.837
-41.486,-26.545,20.604
-62.157,-29.327,26.465
-57.739,-36.531,36.167
-58.655,-17.581,24.112
-52.187,-28.876,18.75
-44.698,-35.785,23.273
-62.433,-39.453,28.274
-58.795,-45.456,33.539
-56.533,-38.575,22.966
-62.607,-46.853,19.221
-50.006,-48.056,21.673
-41.55,-28.684,42.558
-49.951,-26.78,53.374
-51.935,-41.943,49.146
-45.532,-33.768,45.023
-38.472,-37.248,46.254
-36.111,-45.358,43.13
-41.251,-41.523,53.707
-52.883,-53.884,34.345
-54.197,-48.097,39.863
-47.212,-52.759,21.205
-44.824,-51.389,27.841
-48.762,-58.118,33.07
-51.185,-68.086,29.155
-49.946,-67.152,38.157
-38.312,-51.798,44.264
-32.723,-55.568,44.911
-48.559,-50.169,47.031
-45.152,-62.313,49.269
-39.44,-70.258,40.662
-31.393,-65.011,44.994
-30.239,-58.994,52.26
-33.059,-79.341,36.308
-33.582,-68.883,37.893
-28.543,-62.74,34.634
-27.462,-70.873,31.951
-24.609,-66.453,40.571
-45.842,-32.015,61.692
-44.882,-19.965,57.661
-39.025,-43.874,61.955
-32.799,-36.069,54.599
-38.206,-32.352,69.791
-29.744,-29.61,72.478
-31.295,-25.633,58.535
-28.506,-65.38,57.969
-29.847,-54.618,57.631
-24.447,-72.273,47.643
-20.341,-63.877,49.722
-20.882,-68.778,60.752
-12.61,-69.629,62.363
-19.023,-57.43,61.461
-21.891,-37.99,64.062
-20.419,-29.342,71.667
-31.89,-44.977,68.085
-23.552,-48.856,71.204
-16.743,-54.133,72.051
-11.563,-33.486,72.178
-18.365,-25.075,72.727
-7.2963,-50.75,70.136
-10.357,-42.256,77.006
-4.0218,-34.556,73.519
-3.0796,-31.871,63.184
-4.5021,-20.835,70.265
-23.398,30.24,35.043
-21.866,41.558,34.578
-31.306,13.401,53.046
-26.727,20.166,41.849
-20.884,26.343,46.535
-25.345,24.049,59.095
-20.047,34.934,54.286
-43.314,-4.8702,53.258
-35.807,-1.559,56.283
-39.031,-18.091,50.997
-43.265,-15.351,63.027
-33.8,-13.405,67.913
-20.243,9.2786,56.52
-17.097,13.149,65.999
-26.43,2.5876,54.336
-23.455,-8.4452,55.309
-23.95,-12.407,70.328
-14.897,2.6714,71.407
-9.9184,14.606,67.074
-15.161,-12.787,66.705
-9.3164,-9.8023,71.903
-6.9118,-9.3028,63.666
-15.925,46.182,36.316
-9.1628,36.15,56.494
-14.206,44.42,47.232
-10.097,54.262,40.926
-6.3669,47.548,34.126
-5.0843,9.0715,60.289
-3.9237,23.685,59.842
-4.7809,-14.434,57.1
-3.4864,-3.0434,59.645
-9.3165,4.9298,52.888
-9.7912,-1.2025,46.667
-7.0133,9.6727,43.403
-7.3476,35.492,38.259
-4.7013,40.36,28.264
-3.5917,28.983,47.917
-4.5969,22.826,41.972
-11.263,17.717,36.563
-12.141,33.555,25.249
-7.4674,13.255,35.051
-10.863,22.838,28.567
-6.8678,29.248,24.59
-5.1468,20.69,21.69
-3.5442,8.986,26.52
-0.74881,14.861,20.4
-2.9368,0.67131,38.647
-3.7444,4.8042,30.225
-2.5077,-4.4978,29.662
-4.7359,-17.022,28.503
-0.75205,-12.21,25.451
-12.238,-14.627,46.197
-9.3648,-6.9599,41.193
-5.8262,-28.367,55.953
-6.5513,-21.136,47.502
-14.905,-28.7,42.638
-14.067,-40.59,46.144
-12.004,-33.731,41.573
-2.4897,-20.668,31.084
-6.736,-30.261,28.608
-5.8917,-13.555,40.807
-6.3311,-26.8,41.755
-8.8023,-39.446,37.497
-2.9196,-43.307,27.062
-4.7061,-38.779,24.331
-13.303,-49.755,35.063
-9.6854,-46.935,32.296
-7.8769,-53.457,23.795
-6.8321,-62.596,20.551
-4.964,-59.249,15.675
-9.6938,-66.071,25.469
-18.123,-61.884,21.962
-9.0887,-53.466,40.062
-4.5903,-61.924,32.447
-12.05,-65.722,30.982
-14.365,-66.612,36.268
-17.469,-71.401,26.534
-12.759,-44.847,53.625
-6.1519,-48.899,46.67
-9.6829,-39.987,58.733
-10.263,-46.799,62.205
-7.715,-57.194,58.096
-4.6957,-73.666,41.181
-16.64,-71.334,39.694
-5.5691,-57.253,45.337
-6.7361,-62.975,50.632
-7.1176,-66.195,57.228
-18.782,-74.833,43.252
-13.153,-80.578,39.76
-12.715,-74.913,51.583
-20.396,-78.1,48.584
-24.646,-81.055,40.792
-19.264,-65.343,18.209
-22.221,-60.354,17.817
-8.9767,-75.604,29.037
-14.057,-70.278,21.798
-7.0496,-66.681,13.299
-9.287,-77.96,12.178
-16.136,-72.499,11.261
-13.389,-88.548,34.586
-5.1397,-83.061,36.816
-25.959,-79.294,31.858
-23.774,-88.66,33.149
-16.036,-87.763,25.48
-21.652,-89.963,20.466
-14.517,-96.98,23.082
-2.3034,-86.024,10.95
-10.761,-86.984,6.0152
-5.7162,-84.371,23.643
-8.353,-92.293,15.334
-11.178,-101.67,12.122
-9.9409,-93.067,-2.1121
-3.6571,-83.82,0.14125
-21.61,-101.46,4.7644
-9.3143,-101.89,-1.8782
-12.226,-97.645,-11.493
-23.648,-94.09,-16.756
-16.241,-88.68,-9.3353
-31.889,-92.45,-7.0946
-33.97,-89.493,-15.36
-26.709,-91.303,8.3587
-31.612,-94.087,3.4834
-40.344,-87.625,0.51774
-45.462,-79.67,8.2436
-47.034,-76.97,-0.8432
-27.205,-81.048,17.017
-31.506,-89.536,18.171
-29.53,-75.644,24.101
-32.32,-78.806,24.945
-36.876,-85.259,30.503
-41.257,-76.02,13.163
-47.611,-69.456,13.993
-38.071,-87.212,9.7872
-44.189,-81.217,21.128
-41.188,-72.4,27.867
-42.216,-61.269,15.766
-44.399,-61.219,8.8982
-45.825,-64.164,22.323
-54.262,-60.866,17.714
-50.28,-52.334,15.857
-55.262,-12.896,-25.075
-64.617,-19.785,-20.228
-54.909,-41.231,-26.27
-56.002,-48.859,-20.823
-55.431,-33.439,-16.801
-65.631,-24.79,-11.769
-63.471,-31.909,-5.3515
-41.97,-58.02,-14.35
-46.475,-66.771,-12.863
-47.446,-55.148,-10.958
-32.072,-80.538,-13.521
-43.768,-79.227,-15.434
-42.46,-73.488,-6.3086
-42.654,-65.726,0.89912
-58.431,-45.068,-5.6748
